bag	section	Top_depth	Bottom_depth	Center_depth	number_grains	e1	e1_weighted	e2	e2_weighted	e3	e3_weighted
2846	1	1564.75	1564.84	1564.8	2165	0.0116237	0.0140231	0.284968	0.278715	0.703223	0.708364
2846	2	1564.84	1564.93	1564.89	2580	0.0120996	0.0151484	0.326339	0.319103	0.662038	0.666874
2846	3	1564.93	1565.03	1564.98	2762	0.0126947	0.0145094	0.348995	0.331056	0.638905	0.653796
2846	4	1565.03	1565.12	1565.07	2851	0.0127562	0.0151839	0.307857	0.306855	0.679449	0.678635
2846	5	1565.12	1565.21	1565.16	2920	0.0130251	0.016379	0.312874	0.310716	0.674369	0.6741
2846	6	1565.21	1565.3	1565.25	2597	0.0124532	0.0170562	0.32981	0.323231	0.657165	0.66039
2876	1	1581.25	1581.34	1581.3	2462	0.010687	0.0126292	0.346902	0.329472	0.640644	0.653472
2876	2	1581.34	1581.43	1581.39	2615	0.0113897	0.0142245	0.29645	0.334429	0.692864	0.652942
2876	3	1581.43	1581.53	1581.48	2711	0.0106319	0.0132058	0.301403	0.334796	0.687208	0.650979
2876	4	1581.53	1581.62	1581.57	2860	0.0115793	0.0154469	0.269595	0.315034	0.719773	0.67176
2876	5	1581.62	1581.71	1581.66	2823	0.0116198	0.0163386	0.27734	0.307659	0.711081	0.676895
2876	6	1581.71	1581.8	1581.75	2867	0.0111439	0.0142084	0.30415	0.312075	0.684231	0.671586
2906	1	1597.75	1597.84	1597.8	2087	0.0111485	0.0151002	0.304527	0.323394	0.684329	0.662398
2906	2	1597.84	1597.93	1597.89	1874	0.0106347	0.0123849	0.33682	0.362215	0.652031	0.622685
2906	3	1597.93	1598.03	1597.98	2342	0.0120104	0.0134695	0.322617	0.358147	0.666748	0.629468
2906	4	1598.03	1598.12	1598.07	2028	0.0117329	0.0125553	0.354347	0.361933	0.633643	0.624597
2906	5	1598.12	1598.21	1598.16	1906	0.0099312	0.0109799	0.329531	0.36081	0.658736	0.626634
2906	6	1598.21	1598.3	1598.25	2018	0.0101003	0.0120009	0.318686	0.349011	0.671214	0.638988
2936	1	1614.25	1614.34	1614.3	3046	0.0135277	0.0157301	0.322063	0.323998	0.664409	0.660272
2936	2	1614.34	1614.43	1614.39	3252	0.013622	0.0166549	0.377127	0.348521	0.609251	0.634825
2936	3	1614.43	1614.53	1614.48	2843	0.0124837	0.0143483	0.342134	0.327373	0.645382	0.658279
2936	4	1614.53	1614.62	1614.57	2827	0.0121274	0.0137228	0.34287	0.326894	0.645003	0.659383
2936	5	1614.62	1614.71	1614.66	2851	0.0121248	0.0158636	0.368032	0.33338	0.619843	0.650757
2936	6	1614.71	1614.8	1614.75	3106	0.0128285	0.0150385	0.325846	0.31854	0.661326	0.666421
2966	1	1630.75	1630.84	1630.8	2629	0.0137752	0.0169475	0.301008	0.309249	0.685216	0.673803
2966	2	1630.84	1630.93	1630.89	2775	0.0139209	0.0163568	0.302616	0.308215	0.683464	0.675428
2966	3	1630.93	1631.03	1630.98	2740	0.013193	0.0169106	0.300414	0.321722	0.686393	0.661367
2966	4	1631.03	1631.12	1631.07	2522	0.0122993	0.0152036	0.321365	0.332088	0.666336	0.652709
2966	5	1631.12	1631.21	1631.16	2482	0.0117483	0.0132314	0.321365	0.332088	0.666336	0.652709
2966	6	1631.21	1631.3	1631.25	2544	0.0119369	0.0158058	0.303809	0.320215	0.684443	0.666554
2997	1	1647.8	1647.89	1647.85	4106	0.0163627	0.0179553	0.334964	0.349761	0.653099	0.634434
2997	2	1647.89	1647.98	1647.94	4108	0.0171262	0.0193359	0.274598	0.271012	0.709039	0.711032
2997	3	1647.98	1648.08	1648.03	4550	0.0160464	0.0185243	0.295392	0.281248	0.687482	0.699416
2997	4	1648.08	1648.17	1648.12	3932	0.0169748	0.0196157	0.288082	0.282521	0.695871	0.698955
2997	5	1648.17	1648.26	1648.21	3857	0.0159837	0.018044	0.295884	0.286864	0.687141	0.693521
2997	6	1648.26	1648.35	1648.3	3892	0.0146419	0.0168719	0.298838	0.283424	0.685179	0.698532
3027	1	1664.3	1664.39	1664.35	2335	0.0114427	0.0131922	0.281767	0.271887	0.703591	0.711241
3027	2	1664.39	1664.48	1664.44	2628	0.0135136	0.0141993	0.322242	0.343691	0.666315	0.643116
3027	3	1664.48	1664.58	1664.53	2264	0.0119237	0.0142733	0.304064	0.302424	0.682422	0.683377
3027	4	1664.58	1664.67	1664.62	2949	0.0155118	0.0183268	0.315589	0.309662	0.672488	0.676065
3027	5	1664.67	1664.76	1664.71	2490	0.0125041	0.0145283	0.295372	0.303994	0.689116	0.677679
3027	6	1664763	1664855	1664.8	2973	0.0148196	0.0172075	0.309688	0.318869	0.677808	0.666603
3056	1	1680.25	1680.34	1680.3	3007	0.0147447	0.0163503	0.31491	0.300627	0.670271	0.682166
3056	2	1680.34	1680.43	1680.39	3084	0.015127	0.0163587	0.322476	0.303579	0.662779	0.68007
3056	3	1680.43	1680.53	1680.48	3129	0.0137228	0.0148389	0.296854	0.295971	0.688019	0.68767
3056	4	1680.53	1680.62	1680.57	3009	0.0132437	0.0151131	0.282133	0.286287	0.704144	0.698874
3056	5	1680.62	1680.71	1680.66	3397	0.0145354	0.0157679	0.30576	0.306159	0.680996	0.678728
3056	6	1680.71	1680.8	1680.75	2632	0.0149628	0.0155215	296	0.292551	0.689465	0.691681
3086	1	1696.75	1696.84	1696.8	3266	0.0129584	0.0161478	0.327945	0.313859	0.657092	0.67062
3086	2	1696.84	1696.93	1696.89	3585	0.0104572	0.0115895	0.278184	0.280366	0.708858	0.703487
3086	3	1696.93	1697.03	1696.98	3748	0.0107439	0.0121964	0.281491	0.273092	0.708051	0.715318
3086	4	1697.03	1697.12	1697.07	3461	0.0109583	0.012236	0.260232	0.27265	0.729024	0.715153
3086	5	1697.12	1697.21	1697.16	3635	0.0111941	0.0123466	0.262694	0.268849	0.726348	0.718915
3086	6	1697.21	1697.3	1697.25	3649	0.0104174	0.0122563	0.265484	0.265941	0.723322	0.721712
3117	1	1713.8	1713.89	1713.85	2497	0.0153159	0.0186542	0.260928	0.271382	0.728654	0.716362
3117	2	1713.89	1713.98	1713.94	2308	0.0145771	0.0155391	0.345898	0.341255	0.638786	0.640091
3117	3	1713.98	1714.08	1714.03	2200	0.0129823	0.0145207	0.355548	0.363126	0.629875	0.621335
3117	4	1714.08	1714.17	1714.12	2530	0.0149721	0.0183298	0.330348	0.336419	0.65667	0.649061
3117	5	1714.17	1714.26	1714.21	2340	0.0131671	0.0159437	0.319412	0.321437	0.665616	0.660233
3117	6	1714.26	1714.35	1714.3	2177	0.0142279	0.0167534	0.33029	0.336595	0.656543	0.647461
