# azimuth	latitude
292.522	48.277
314.512	8.68126
311.649	10.3745
136.378	1.77921
134.547	52.1307
120.687	39.9303
314.965	73.0395
126.212	38.7158
264.877	57.1495
310.367	37.3613
302.997	47.8041
133.52	7.77789
320.603	43.4655
299.381	54.7214
133.043	2.22676
297.054	47.8215
310.04	33.7314
141.066	0.0896454
128.374	16.8044
128.547	18.3124
141.309	24.2091
305.912	25.5717
129.196	2.46146
292.265	68.4859
311.817	55.3303
132.643	12.7789
136.525	6.84535
307.459	29.3297
127.67	51.6736
131.907	3.47027
317.373	12.7449
328.542	60.3946
126.069	4.1954
313.203	19.7369
314.113	2.22932
123.708	56.0972
136.175	11.1708
315.005	27.6634
254.449	85.2074
311.204	61.9815
315.782	54.9728
127.854	43.6495
315.751	63.218
127.821	21.522
148.301	60.0394
280.401	65.4601
132.661	3.02209
306.349	18.8669
126.047	41.9358
124.384	6.19047
322.591	3.37571
304.809	38.4155
133.94	1.91595
311.787	0.351959
311.43	24.1709
311.958	20.2747
134.768	5.94241
308.377	50.632
134.364	2.90706
320.557	43.2613
307.803	4.01729
128.209	0.410301
141.962	25.4561
131.362	50.6745
129.516	0.633537
324.685	23.4623
126.739	29.8691
137.828	8.41804
127.012	7.45754
318.572	2.81515
304.301	66.24
313.125	43.5586
310.492	20.1802
309.067	9.8299
139.683	14.5223
143.233	56.2054
138.177	18.9296
312.624	8.18009
316.17	34.1555
131.31	15.204
317.655	23.9257
317.18	33.5397
311.32	1.94939
309.545	36.3038
141.012	26.3161
317.296	4.22193
297.68	54.1715
310.222	5.953
197.702	82.5551
136.98	18.2189
313.686	7.98354
316.215	20.2641
309.406	60.7102
130.449	66.1269
128.7	6.57929
154.014	68.5902
309.383	33.7566
136.723	20.3072
127.15	45.514
301.831	56.4842
133.291	23.5638
282.553	80.4227
315.06	7.80112
312.957	10.2897
123.159	65.088
141.872	21.9076
137.614	82.9645
313.942	57.8359
135.589	13.3084
136.733	33.4156
131.986	24.0864
135.54	34.5793
296.554	19.3841
141.036	65.6063
308.428	12.8281
127.323	50.4242
