# azimuth	latitude
35.6005	5.6073
31.3949	61.1655
212.432	1.84517
55.3455	77.6827
63.2987	77.2672
36.3538	62.0256
215.774	15.4283
207.739	46.0555
215.218	10.9163
213.11	24.0066
208.354	8.90079
203.358	27.1495
11.848	74.2001
213.619	17.2143
42.3142	42.6037
31.2078	47.805
30.899	59.9827
202.408	16.9471
214.914	83.8428
31.7242	3.57712
191.31	80.0211
218.517	68.492
26.9144	28.6387
213.225	4.57521
204.317	33.9374
29.6963	11.4488
211.697	7.22467
207.505	81.3565
37.1114	78.4216
36.7452	28.1106
37.2837	0.207123
32.4645	23.856
201.607	5.38718
177.955	75.9255
222.151	26.9546
350.703	76.1291
155.691	86.7182
214.643	23.8677
25.1682	44.0786
219.052	13.7147
216.132	32.1482
28.8419	6.84885
208.934	63.6478
203.767	20.0454
217.095	43.7234
31.3688	13.5763
32.9513	60.8935
142.572	79.165
202.931	34.5577
213.538	31.7796
189.215	51.9829
207.925	24.6434
209.956	58.2422
203.682	25.0664
24.4937	42.4006
17.1191	75.2919
46.0734	14.874
203.148	41.6184
199.707	32.7343
27.9039	44.1221
153.682	87.0638
28.4427	9.84892
19.0395	14.0977
164.862	88.0777
215.368	22.5984
79.7817	78.652
212.487	7.96741
72.7066	78.6721
187.872	55.6133
29.617	10.3885
219.456	32.4948
33.2046	11.5532
52.0882	72.8076
27.3724	68.3931
213.372	2.49638
208.686	25.1468
35.736	49.5094
33.3917	6.16271
22.7001	70.4365
49.85	4.12141
35.7285	17.6727
204.783	80.7229
182.549	60.976
211.134	15.7963
347.141	69.1187
192.974	70.4587
24.2941	81.0128
31.2271	28.3579
2.28558	82.1211
203.012	0.673943
203.826	77.9507
35.3191	25.0578
47.2983	3.77764
29.9469	1.62028
34.1258	22.7516
30.1419	25.6245
208.225	19.4277
211.678	23.5333
15.9982	79.2736
202.251	21.131
24.6705	72.9915
199.868	42.0488
205.312	29.8488
37.9764	22.901
32.8598	74.1931
210.831	18.7345
22.5642	57.5354
43.6717	5.73232
16.3149	74.8824
206.094	28.3908
19.3768	65.8515
32.9913	22.9762
42.857	16.8851
195.154	72.26
197.15	10.4671
215.387	62.0771
82.6177	85.6778
181.677	78.2057
36.0289	11.8976
158.113	76.8075
217.987	32.5292
33.3552	5.31503
37.8688	53.4256
212.609	12.6624
215.169	1.67052
216.299	3.33306
211.579	32.2007
19.5254	51.8451
48.07	24.4255
357.45	84.9779
157.732	84.6786
197.349	63.3601
213.633	32.5512
208.888	9.72054
34.7632	11.7788
210.971	58.5599
43.2799	1.05666
208.894	8.66537
211.406	52.6614
353.921	85.2139
38.1301	22.2275
24.4494	58.8575
141.163	84.2761
214.523	11.5104
211.524	27.0179
212.246	30.4078
35.5985	18.6425
231.469	73.2608
216.56	22.5234
213.362	6.66182
211.611	13.475
111.478	78.7297
172.798	75.3377
20.783	48.4185
33.5933	50.2436
23.8178	25.0523
35.7217	48.263
35.7893	44.2665
41.9471	21.2638
40.6403	21.7029
115.489	82.9607
202.806	48.8147
27.9411	19.5821
178.038	78.458
210.803	54.9234
191.655	82.9617
215.537	6.22085
220.641	0.558601
211.501	28.2373
337.436	85.1598
34.0148	22.7505
201.373	71.9526
220.519	72.7729
209.953	21.3477
235.177	68.6698
49.1887	16.1811
9.52219	80.9264
213.212	0.655342
18.9006	60.7908
208.584	6.89558
36.6033	55.3715
125.471	85.7339
30.5501	69.2227
183.652	47.2405
221.082	75.8769
43.3504	52.2619
25.9899	69.1283
31.0739	21.7858
217.181	40.2203
37.4224	0.548401
213.452	47.1782
28.5344	43.9404
1.34793	47.4244
46.0535	34.9262
31.3671	45.9385
29.9197	4.59223
211.252	26.7034
175.861	82.3127
201.454	50.1994
189.133	59.7223
40.453	71.0363
33.9006	0.363533
211.969	22.0076
206.6	13.5615
219.064	55.4698
228.77	82.6354
207.701	30.1463
5.36165	47.2337
210.634	2.32519
215.53	1.85491
40.8097	39.6308
212.299	21.7299
214.724	30.9508
22.0225	71.3244
43.5657	31.4241
40.053	42.3619
28.1502	14.1964
33.3975	21.5834
27.6256	14.5676
207.659	3.30018
31.6954	8.94944
26.6276	4.3306
177.45	82.2425
184.807	69.2697
217.36	4.20316
39.7288	68.6861
200.248	44.2444
213.104	14.5798
209.223	2.31135
45.4685	70.9188
29.6856	38.9876
11.3564	56.0456
97.0479	83.8971
25.3978	10.1003
201.959	69.4318
188.539	70.5502
17.9804	83.0495
27.9996	21.3303
31.9507	1.5518
33.8606	42.8871
174.222	84.7401
20.7063	13.7147
171.738	70.6333
210.864	17.7539
209.058	3.90558
209.673	15.4922
207.953	28.27
205.582	37.7061
15.5115	4.38685
208.574	53.3531
67.7753	75.4833
34.463	3.26598
214.326	35.8599
211.054	58.5857
182.502	73.0357
133.516	79.0305
257.522	12.1826
35.4118	15.2647
28.629	20.4508
36.944	8.54105
28.4433	18.2714
33.0716	71.0123
200.122	56.7272
207.172	32.1823
28.936	4.41695
235.26	72.9646
194.794	73.2135
203.457	23.9463
32.3888	29.7003
212.689	61.4702
217.733	36.2153
197.67	57.3817
28.797	59.0395
33.6275	72.4365
119.991	82.1617
203.879	29.765
44.6842	54.0958
35.5403	13.6204
211.546	62.8051
32.5435	64.3538
157.355	84.6948
208.848	54.6445
218.532	70.7515
208.396	10.9936
199.311	50.002
34.1288	3.00713
209.68	4.69547
35.752	24.2145
39.0369	63.6677
111.251	85.9599
64.5734	75.9947
214.696	33.2571
46.0626	58.3897
196.281	82.2626
29.0479	49.0702
31.1047	3.22713
129.898	83.9859
199.832	45.9911
36.8874	5.65088
213.881	18.9227
232.768	72.9549
41.6125	5.59151
200.648	48.7374
214.885	16.3241
199.937	49.1519
27.6688	30.056
207.411	27.2934
194.216	74.3611
42.1923	35.2449
213.041	64.9878
243.5	85.0126
150.841	82.279
207.338	23.1195
56.8682	79.2777
211.158	20.3205
230.771	69.8334
199.385	13.7131
213.837	18.5633
206.044	8.96567
202.317	84.716
36.1954	26.7081
35.5785	41.8941
208.681	23.9604
206.176	5.51759
205.766	7.41035
59.8128	78.7109
35.5852	58.3016
202.185	55.8294
21.7289	64.8099
33.499	60.2923
27.259	58.6768
29.7062	30.0441
195.683	65.0163
30.7981	28.5541
211.272	72.8341
212.995	2.68269
214.997	47.3602
208.581	32.2396
197.759	36.6862
203.587	3.03484
227.254	76.9766
211.655	32.9261
216.032	25.5161
34.8852	64.1005
194.142	44.1382
199.256	29.9849
212.248	34.7362
40.1924	12.2714
52.2607	79.2476
27.2433	25.1628
211.125	55.3686
210.204	1.41254
31.5735	33.0356
206.733	51.3358
210.04	12.3997
17.854	67.1263
42.7164	27.8164
199.292	63.7555
218.765	85.4508
188.767	71.807
217.274	37.6273
211.652	25.8819
32.7224	74.3531
35.4845	8.02191
203.116	73.8742
208.977	75.3322
80.5227	86.686
12.2595	85.5766
210.551	10.8635
212.182	60.4443
211.075	55.854
36.8357	45.2447
201.343	16.7685
205.322	78.5663
36.0464	4.49341
24.0851	52.0342
45.7968	86.6156
38.0008	78.7017
209.947	46.3342
211.854	6.83218
200.491	76.0529
202.948	24.0721
218.393	35.984
260.449	66.287
226.965	0.634338
33.4647	37.9657
212.631	66.7888
205.658	71.1411
43.7337	17.4503
38.0096	31.9459
204.989	67.0032
204.625	53.8333
39.7791	6.57429
41.3428	9.9363
183.88	82.4258
209.377	51.7918
29.8693	61.7307
205.197	3.5131
25.986	16.9016
29.5669	39.4776
159.121	80.9498
69.3995	82.4124
340.098	71.0281
29.389	19.4428
30.1272	4.9306
195.973	21.8782
41.8123	52.2014
205.225	61.564
207.245	43.7187
27.958	2.58396
204.865	12.7415
188.239	71.2403
181.248	73.8795
192.25	72.3996
46.3384	63.0395
24.1084	55.3977
27.6713	56.6683
17.5055	24.4643
85.9572	76.1935
33.43	41.2963
205.306	59.4846
27.6005	27.6262
206	63.5258
29.7948	30.0064
37.8857	65.9229
24.2909	21.3791
123.191	82.7657
198.338	67.3467
82.4655	79.472
209.528	34.8533
82.9454	78.9401
46.9614	71.0958
211.341	37.3834
182.039	78.8274
209.164	58.2775
173.566	73.2349
206.691	60.0149
71.6101	79.0741
206.238	32.766
29.3763	14.5065
204.903	39.6998
56.6125	77.3077
38.5774	58.7532
31.8901	5.41151
21.4075	10.1283
215.005	1.71594
205.865	25.8243
202.525	18.9039
27.2084	50.5923
174.256	82.0399
214.274	21.1279
188.481	81.0898
20.8873	26.9986
210.571	21.2441
206.619	22.383
215.62	33.5211
217.551	6.31348
199.932	43.5984
201.853	45.1394
215.478	55.0087
222.168	59.2715
32.1248	4.18611
225.736	58.7931
30.7781	20.7037
34.4709	49.3458
34.0216	4.36382
190.902	55.2174
209.66	35.0621
219.179	62.5516
18.5516	22.9745
216.966	6.77055
206.53	38.6714
25.5439	47.9521
39.5429	61.4273
301.229	85.1015
219.189	74.5579
205.481	15.7176
216.751	10.7599
43.6716	69.2602
220.256	20.0904
215.936	3.84036
145.099	82.8829
188.154	73.4406
229.789	83.4598
218.891	10.781
217.811	2.16558
26.5143	47.4265
17.6974	13.4752
33.4491	55.3942
198.915	50.0813
214.153	4.92493
28.6066	4.07763
203.021	40.6464
279.443	76.2736
58.5377	73.5959
263.251	76.894
208.588	32.1756
31.936	21.862
204.535	32.4812
262.624	78.2086
210.711	31.5458
192.276	84.5928
207.261	71.801
253.22	79.5992
18.1882	39.1268
208.935	67.6443
208.313	17.0914
34.0003	14.1179
79.1955	71.6226
257.064	76.1488
120.984	85.0994
176.845	72.5919
21.1864	30.8176
35.9181	30.474
40.1293	37.1387
196.971	8.0541
30.7357	37.5106
27.2534	10.4351
197.189	74.708
32.7773	57.3008
346.891	43.413
29.9054	15.4578
194.764	82.5495
29.4494	28.5945
129.802	78.35
27.7031	13.2219
193.602	66.7826
203.771	70.1943
188.84	81.0516
37.283	31.4724
35.7196	32.3204
211.304	73.3068
19.2265	32.7269
30.9687	8.90072
44.2643	43.6465
216.848	43.2443
212.838	9.07761
33.0319	32.1587
221.123	23.5521
191.125	56.314
194.491	64.2563
195.985	53.6823
42.6614	53.6188
32.5909	28.2106
206.184	72.8365
106.972	82.1801
